"data_hora","vento_u","vento_v","periodo_onda_pico","pressao_media_mar","direcao_media_onda","coef_arrasto_onda","assimetria_espectral_onda","inclinacao_media_quadratica_onda","altura_maxima_onda"
2025-01-01,-4.25868225097656,-0.587051391601562,9.93296051025391,101335.375,150.329833984375,0.000841204542666674,0.0130099840462208,0.0034294982906431,2.33720302581787
2025-01-01 01:00:00,-4.15115356445312,-0.5224609375,9.96665191650391,101352.9375,149.83251953125,0.000838350970298052,0.0130272731184959,0.00340471277013421,2.35286617279053
2025-01-01 02:00:00,-4.12492370605469,-0.621185302734375,9.99301910400391,101354.5,149.3564453125,0.000815151259303093,0.0130429118871689,0.00336561794392765,2.3650369644165
2025-01-01 03:00:00,-3.67974853515625,-0.7772216796875,10.0130386352539,101295.8125,148.899047851562,0.000772994942963123,0.0130543932318687,0.00331698660738766,2.37378311157227
2025-01-01 04:00:00,-3.09075927734375,-0.552154541015625,10.0271987915039,101251.6875,148.565460205078,0.000724462093785405,0.0130506008863449,0.00324546755291522,2.37802410125732
2025-01-01 05:00:00,-2.44664001464844,-0.19659423828125,10.0364761352539,101234.125,148.464660644531,0.000687021529302001,0.0130252689123154,0.00313198403455317,2.37474536895752
2025-01-01 06:00:00,-2.10896301269531,-0.338851928710938,10.0413589477539,101198,148.602600097656,0.00068614911288023,0.0129754729568958,0.00298275984823704,2.36478137969971
2025-01-01 07:00:00,-1.65130615234375,-0.52801513671875,10.0413589477539,101182.9375,148.930038452148,0.000685176346451044,0.0129085518419743,0.00282410113140941,2.34915447235107
2025-01-01 08:00:00,-0.79888916015625,0.0031890869140625,10.0374526977539,101189.125,149.399017333984,0.000684302067384124,0.0128247290849686,0.00266753043979406,2.32950592041016
2025-01-01 09:00:00,-0.891464233398438,0.183731079101562,10.0301284790039,101261.8125,149.930038452148,0.000683150719851255,0.0127329938113689,0.00252251932397485,2.30747413635254
2025-01-01 10:00:00,-1.46144104003906,0.08416748046875,10.0140151977539,101323.4375,150.51611328125,0.000682414975017309,0.0126422829926014,0.00234152772463858,2.28062534332275
2025-01-01 11:00:00,-1.691162109375,0.0541534423828125,10.0027847290039,101347.125,151.031478881836,0.000682808924466372,0.0125348344445229,0.00223265797831118,2.25469493865967
2025-01-01 12:00:00,-1.58065795898438,0.55792236328125,9.98960113525391,101380.0625,151.539535522461,0.00068253930658102,0.0124228931963444,0.00212678429670632,2.22767448425293
2025-01-01 13:00:00,-1.97709655761719,1.6024169921875,9.97348785400391,101399.6875,152.03678894043,0.000738240079954267,0.0123160295188427,0.00206478196196258,2.20108509063721
2025-01-01 14:00:00,-2.74237060546875,2.41477966308594,9.95493316650391,101382.8125,152.477783203125,0.000804275739938021,0.0122164003551006,0.00208609621040523,2.17778778076172
2025-01-01 15:00:00,-3.43014526367188,2.93690490722656,9.93393707275391,101348.0625,152.845321655273,0.000854449346661568,0.0121270790696144,0.00214713765308261,2.15658950805664
2025-01-01 16:00:00,-3.64189147949219,2.27169799804688,9.91049957275391,101324.0625,153.131134033203,0.000866080401465297,0.012040302157402,0.00221580150537193,2.13516330718994
2025-01-01 17:00:00,-3.41944885253906,1.45857238769531,9.88413238525391,101250.5,153.293426513672,0.000832370482385159,0.0119545981287956,0.00222248304635286,2.11159324645996
